order_id,customer_name,order_amount,order_date,payment_mode,status
ORD10027,Sneha Iyer,3804.21,2026-03-18,Card,paid
ORD10050,Aditya Verma,2658.55,2026-03-02,Card,paid
ORD10028,Arjun Reddy,959.16,2026-03-14,Netbanking,paid
ORD10016,Ananya Rao,2763.87,2026-03-06,Card,paid
ORD10005,Divya Pillai,327.37,2026-03-20,Card,paid
ORD10059,Dev Patel,1639.99,2026-03-21,UPI,refunded
ORD10044,Priya Nair,4346.42,2026-03-15,Card,paid
ORD10042,Riya Kapoor,2965.82,2026-03-19,UPI,paid
ORD10013,Arjun Reddy,4359.12,2026-03-08,Card,paid
ORD10055,Aditya Verma,528.9,2026-03-06,UPI,paid
ORD10029,Ishita Bose,2636.87,2026-03-06,Netbanking,paid
ORD10033,Rohan Gupta,1356.18,2026-03-02,Netbanking,paid
ORD10014,Kavya Menon,4203.73,2026-03-21,Card,paid
ORD10007,Vikram Singh,1833.2,2026-03-14,Card,paid
ORD10045,Meera Joshi,4042.84,2026-03-11,UPI,paid
ORD10032,Ishita Bose,293.49,2026-03-16,UPI,paid
ORD10026,Sneha Iyer,4331.74,2026-03-18,Netbanking,paid
ORD10060,Rohan Gupta,2989.07,2026-03-19,Netbanking,paid
ORD10004,Meera Joshi,343.03,2026-03-02,Netbanking,paid
ORD10003,Karan Mehta,3735.06,2026-03-05,Card,paid
ORD10053,Tanya Malhotra,440.68,2026-03-02,Netbanking,paid
ORD10054,Yash Chopra,955.68,2026-03-17,UPI,paid
ORD10038,Dev Patel,780.82,2026-03-15,UPI,paid
ORD10039,Rohan Gupta,2858.82,2026-03-19,Netbanking,paid
ORD10022,Kabir Khan,2117.12,2026-03-19,Netbanking,paid
ORD10023,Sneha Iyer,636.37,2026-03-16,UPI,paid
ORD10031,Sanya Kaur,4776.8,2026-03-18,Card,paid
ORD10051,Divya Pillai,4786.37,2026-03-14,Netbanking,paid
ORD10056,Sanya Kaur,1381.83,2026-03-19,UPI,paid
ORD10049,Vikram Singh,2150.79,2026-03-06,Card,paid
ORD10046,Riya Kapoor,2774.17,2026-03-07,UPI,paid
ORD10052,Karan Mehta,3186.83,2026-03-07,Netbanking,paid
ORD10019,Vikram Singh,1212.72,2026-03-03,Netbanking,paid
ORD10011,Karan Mehta,4181.14,2026-03-10,UPI,paid
ORD10040,Dev Patel,482.59,2026-03-21,UPI,paid
ORD10009,Nikhil Das,1469.7,2026-03-20,Netbanking,paid
ORD10058,Aditya Verma,1345.69,2026-03-11,UPI,refunded
ORD10057,Arjun Reddy,3355.39,2026-03-14,UPI,paid
ORD10008,Kavya Menon,645.18,2026-03-04,Card,paid
ORD10048,Rohan Gupta,442.82,2026-03-04,UPI,paid
ORD10037,Nikhil Das,3622.16,2026-03-07,Netbanking,paid
ORD10002,Meera Joshi,734.39,2026-03-21,UPI,paid
ORD10035,Arjun Reddy,4744.87,2026-03-16,Netbanking,paid
ORD10043,Riya Kapoor,665.27,2026-03-04,Card,paid
ORD10041,Divya Pillai,1342.42,2026-03-17,UPI,paid
ORD10021,Karan Mehta,1383.81,2026-03-05,Card,paid
ORD10047,Nikhil Das,2420.61,2026-03-09,Netbanking,paid
ORD10036,Divya Pillai,2231.06,2026-03-20,Netbanking,paid
ORD10030,Kavya Menon,3123.06,2026-03-17,UPI,paid
ORD10012,Ishita Bose,419.96,2026-03-03,UPI,paid
ORD10020,Kabir Khan,2099.03,2026-03-16,Card,paid
ORD10025,Yash Chopra,2031.77,2026-03-13,Card,paid
ORD10017,Dev Patel,1495.75,2026-03-13,UPI,paid
ORD10006,Aarav Sharma,2356.2,2026-03-08,UPI,paid
ORD10024,Sanya Kaur,967.91,2026-03-21,UPI,paid
ORD10010,Rohan Gupta,4870.96,2026-03-04,Netbanking,paid
ORD10018,Aditya Verma,4144.65,2026-03-08,Card,paid
ORD10034,Kabir Khan,4116.91,2026-03-16,Netbanking,paid
ORD10015,Sanya Kaur,3416.84,2026-03-07,Netbanking,paid
